timestamp,overall_cpu,per_cpu
1747173941.3824222,4.7,"[0.0, 0.0, 1.0, 0.0]"
1747173944.3835049,3.4,"[16.7, 1.1, 1.1, 3.4]"
1747173947.3844535,5.0,"[13.2, 0.0, 1.1, 0.0]"
1747173950.3854995,3.4,"[20.4, 2.2, 1.1, 3.5]"
1747173953.3867297,6.6,"[22.0, 0.0, 1.1, 1.2]"
1747173956.387806,0.5,"[28.1, 0.0, 1.1, 6.1]"
1747173959.3889847,7.1,"[33.3, 1.1, 1.1, 1.3]"
1747173962.3900645,0.5,"[7.8, 1.0, 0.0, 1.1]"
1747173965.3914185,8.4,"[37.7, 1.1, 1.1, 2.6]"
1747173968.392364,5.1,"[1.0, 1.0, 1.0, 2.0]"
1747173971.3937206,11.2,"[44.2, 0.0, 1.1, 1.3]"
1747173974.3947475,9.3,"[15.2, 2.1, 1.1, 3.3]"
1747173977.3959754,11.6,"[54.5, 1.2, 1.1, 2.6]"
1747173980.3971088,11.3,"[52.6, 1.2, 1.1, 4.0]"
1747173983.398098,3.4,"[74.2, 3.3, 0.0, 2.3]"
1747173986.399153,15.5,"[73.8, 4.4, 2.4, 2.4]"
1747173989.4002085,1.3,"[29.6, 1.1, 2.2, 2.4]"
1747173992.4015877,16.0,"[71.9, 5.7, 3.4, 5.6]"
1747173995.402605,7.0,"[0.0, 0.0, 0.0, 0.0]"
1747173998.4037366,20.8,"[86.4, 5.6, 3.4, 7.6]"
1747174001.4047387,22.1,"[8.3, 1.0, 1.0, 1.0]"
1747174004.4059403,24.2,"[90.2, 6.2, 2.3, 5.9]"
1747174007.4070272,24.3,"[70.1, 3.5, 1.1, 1.1]"
1747174010.4080644,13.9,"[94.4, 5.7, 3.4, 7.8]"
1747174013.4092457,29.0,"[94.4, 3.5, 2.3, 2.7]"
1747174016.4101698,0.3,"[80.9, 3.4, 3.5, 6.5]"
1747174019.4114027,30.1,"[95.7, 5.7, 4.8, 8.0]"
1747174022.4126117,5.1,"[17.8, 1.0, 0.0, 1.1]"
1747174025.4138024,32.0,"[99.0, 3.6, 3.5, 10.8]"
1747174028.4147482,26.6,"[1.0, 2.0, 0.0, 1.0]"
1747174031.4159262,33.1,"[100.0, 7.1, 4.4, 9.2]"
1747174034.4169903,33.2,"[49.5, 3.2, 2.1, 4.5]"
1747174037.418091,26.1,"[100.0, 5.5, 3.4, 12.7]"
1747174040.4192665,33.2,"[100.0, 4.4, 4.5, 8.7]"
1747174043.4204345,4.6,"[100.0, 11.0, 4.5, 8.7]"
1747174046.4215033,33.9,"[100.0, 5.1, 2.3, 7.5]"
1747174049.422501,0.3,"[48.0, 0.0, 2.1, 2.2]"
1747174052.423704,32.0,"[100.0, 5.7, 2.2, 6.2]"
1747174055.424665,15.9,"[2.0, 1.0, 0.0, 2.0]"
1747174058.425794,33.2,"[100.0, 5.6, 4.6, 7.7]"
1747174061.4268966,31.8,"[20.0, 0.0, 0.0, 1.1]"
1747174064.428052,33.6,"[100.0, 5.7, 4.5, 9.3]"
1747174067.429121,31.4,"[88.0, 4.5, 3.4, 9.0]"
1747174070.4302967,15.8,"[100.0, 2.3, 4.7, 12.0]"
1747174073.4315357,33.5,"[100.0, 2.3, 6.9, 13.2]"
1747174076.4325533,0.5,"[77.8, 2.4, 3.3, 2.5]"
1747174079.4338503,33.1,"[100.0, 7.1, 5.6, 11.3]"
1747174082.434883,6.7,"[10.0, 1.0, 0.0, 1.0]"
1747174085.436004,32.9,"[100.0, 6.8, 3.3, 11.0]"
1747174088.4369419,29.7,"[1.0, 1.0, 1.0, 0.0]"
1747174091.4382143,33.7,"[100.0, 7.1, 4.3, 11.9]"
1747174094.439426,34.6,"[57.6, 3.3, 1.1, 5.0]"
1747174097.4404926,23.5,"[100.0, 8.1, 1.1, 8.0]"
1747174100.4417436,33.1,"[100.0, 5.7, 2.2, 6.6]"
1747174103.442846,2.3,"[100.0, 7.1, 5.8, 10.3]"
1747174106.444062,33.8,"[100.0, 4.7, 2.4, 6.5]"
1747174109.4450922,0.5,"[41.0, 4.3, 1.1, 3.3]"
1747174112.4462495,32.8,"[100.0, 8.8, 4.5, 7.7]"
1747174115.4472451,19.5,"[0.0, 0.0, 0.0, 0.0]"
1747174118.4483771,32.4,"[100.0, 5.6, 6.8, 12.3]"
1747174121.449524,33.8,"[26.3, 0.0, 1.0, 2.2]"
1747174124.4507291,32.6,"[100.0, 4.7, 8.0, 10.1]"
1747174127.4517324,33.4,"[94.0, 6.7, 2.4, 6.3]"
1747174130.452886,11.9,"[100.0, 6.6, 4.7, 11.1]"
1747174133.4540055,34.0,"[100.0, 3.4, 3.4, 10.8]"
1747174136.4550045,0.3,"[71.0, 5.4, 3.4, 6.9]"
1747174139.4561415,33.1,"[100.0, 5.6, 4.7, 1.3]"
1747174142.45725,8.1,"[4.0, 0.0, 0.0, 1.0]"
1747174145.4583495,33.2,"[100.0, 3.5, 4.7, 5.3]"
1747174148.459326,30.4,"[1.0, 0.0, 0.0, 1.0]"
1747174151.460252,0.8,"[0.0, 0.0, 1.0, 0.0]"
1747174154.461219,0.3,"[1.0, 1.0, 1.0, 0.0]"
1747174157.4620965,0.8,"[0.0, 1.0, 0.0, 1.0]"
1747174160.4629612,0.7,"[2.0, 0.0, 1.0, 2.0]"
1747174163.4638824,0.5,"[0.0, 0.0, 0.0, 0.0]"
1747174166.464763,0.2,"[1.0, 0.0, 1.0, 0.0]"
1747174169.4656444,1.0,"[0.0, 0.0, 0.0, 0.0]"
1747174172.4664216,0.5,"[0.0, 0.0, 0.0, 1.0]"
1747174175.4672391,0.5,"[1.0, 1.0, 0.0, 1.0]"
1747174178.4680526,0.2,"[1.0, 1.0, 1.0, 0.0]"
1747174181.4689906,0.8,"[1.0, 0.0, 0.0, 0.0]"
1747174184.4698994,0.0,"[1.0, 2.0, 0.0, 2.0]"
1747174187.4708488,1.0,"[1.0, 0.0, 0.0, 1.0]"
1747174190.4717274,0.7,"[0.0, 0.0, 1.0, 1.0]"
1747174193.4726548,1.2,"[0.0, 0.0, 1.0, 0.0]"
1747174196.473586,0.3,"[1.0, 1.0, 2.0, 2.0]"
1747174199.4744768,0.5,"[1.0, 0.0, 0.0, 1.0]"
1747174202.475391,0.0,"[0.0, 0.0, 1.0, 2.0]"
1747174205.4762883,0.5,"[0.0, 1.0, 0.0, 0.0]"
1747174208.4771714,0.2,"[2.0, 1.0, 1.0, 1.0]"
1747174211.4780674,1.0,"[0.0, 0.0, 0.0, 0.0]"
1747174214.4789145,0.2,"[0.0, 0.0, 1.0, 0.0]"
1747174217.4797661,0.7,"[0.0, 0.0, 0.0, 2.0]"
1747174220.4806788,0.5,"[1.0, 0.0, 1.0, 0.0]"
1747174223.4815962,0.8,"[1.0, 0.0, 1.0, 0.0]"
1747174226.4827845,0.0,"[0.0, 0.0, 0.0, 0.0]"
1747174229.483695,0.5,"[2.0, 2.0, 2.0, 2.0]"
1747174232.4846315,0.5,"[1.0, 0.0, 0.0, 0.0]"
1747174235.4855506,0.5,"[1.0, 0.0, 0.0, 1.0]"
1747174238.4863968,0.8,"[0.0, 0.0, 0.0, 0.0]"
1747174241.4873195,0.3,"[0.0, 2.0, 2.9, 0.0]"
1747174244.488253,0.5,"[0.0, 0.0, 0.0, 0.0]"
1747174247.4891346,0.3,"[0.0, 2.0, 0.0, 0.0]"
1747174250.4900253,0.8,"[0.0, 0.0, 2.0, 0.0]"
1747174253.4909058,0.5,"[0.0, 1.0, 0.0, 0.0]"
1747174256.4918277,0.5,"[0.0, 0.0, 1.0, 0.0]"
1747174259.4926994,0.3,"[1.0, 1.0, 1.0, 1.0]"
1747174262.4936342,0.5,"[0.0, 0.0, 0.0, 0.0]"
1747174265.494462,0.3,"[0.0, 1.0, 0.0, 0.0]"
1747174268.4953635,0.5,"[0.0, 2.0, 1.0, 0.0]"
1747174271.4962318,0.5,"[0.0, 0.0, 2.0, 1.0]"
1747174274.4970796,0.8,"[0.0, 0.0, 1.0, 0.0]"
1747174277.497939,0.3,"[1.0, 1.0, 2.0, 2.0]"
1747174280.4988878,1.7,"[1.0, 2.0, 0.0, 0.0]"
1747174283.499751,0.3,"[1.0, 0.0, 0.0, 0.0]"
1747174286.5006807,0.5,"[0.0, 0.0, 0.0, 0.0]"
