type,avg,std,min,p5,p10,p50,p67,p75,p80,p85,p90,p95,p99,p999,p9999,QPS,target
read,194.3,127.3,68.9,111.2,127.3,185.5,209.1,221.8,231.2,242.8,258.3,284.7,363.0,1264.4,4067.3,14042.4,14085
read,250.5,210.9,63.8,98.4,109.0,198.5,264.5,307.2,341.8,385.6,443.1,534.4,859.9,2534.4,6644.9,93976.8,94103
read,214.8,256.8,59.1,96.5,105.9,200.1,246.1,268.4,284.3,303.5,330.2,372.2,492.0,1379.4,3303.4,58214.6,58175
read,526.9,591.3,68.9,156.2,178.4,307.7,374.7,438.3,550.2,1196.5,1446.5,1650.3,2771.4,4805.4,8081.2,151272.6,151312
read,219.6,138.1,63.8,100.0,111.7,203.5,248.9,272.7,289.9,310.4,337.0,379.9,506.9,1367.7,4841.2,83092.8,83333
read,221.7,165.1,63.8,109.7,122.0,196.6,236.9,262.4,281.0,303.8,334.2,382.5,527.5,2468.9,5800.3,165076.9,165153
read,204.1,212.5,63.8,96.8,106.3,172.9,218.7,247.3,268.0,292.1,322.5,367.8,507.6,2235.8,6602.9,123981.9,123975
read,216.0,135.6,63.8,100.4,113.5,206.5,240.5,259.8,273.4,290.7,313.3,346.2,447.5,1628.0,5388.8,28568.7,28449
read,196.5,256.5,63.8,107.1,123.2,184.0,207.8,220.1,229.4,240.1,254.5,278.8,347.9,2238.6,11079.1,14901.2,14903
read,219.0,157.2,63.8,98.9,111.5,210.5,250.2,271.0,285.9,303.1,325.5,360.5,441.6,1035.5,4063.2,31167.9,31189
read,235.4,196.1,63.8,96.6,107.8,216.3,263.9,289.3,307.6,328.3,352.8,393.8,601.3,2708.0,7611.1,40517.6,40636
read,261.9,295.0,63.8,95.3,105.0,210.3,279.5,322.2,351.7,384.1,423.6,491.6,1143.1,4484.4,7669.2,80617.3,80574
read,348.8,403.1,68.9,138.5,159.1,261.4,306.4,335.3,359.9,394.6,458.5,1126.9,1850.3,4489.8,7981.2,168747.2,168820
read,212.6,162.8,63.8,105.5,117.1,186.3,225.9,250.2,268.6,290.8,319.8,367.5,516.8,2344.4,5584.9,162636.1,162621
read,203.8,146.2,63.8,94.8,103.3,173.3,226.7,256.8,276.6,299.3,328.2,370.9,505.4,1906.9,4598.7,101527.9,101621
read,213.8,108.7,63.8,94.8,104.5,202.8,251.1,274.8,291.8,312.0,336.5,371.1,453.6,957.8,2971.3,58580.4,58592
read,474.9,556.9,63.8,141.4,162.2,248.5,302.7,379.5,593.9,1070.3,1344.2,1537.9,2639.2,4078.1,8017.0,153172.0,153042
read,363.2,399.1,63.8,116.4,132.6,227.4,300.2,376.9,453.4,578.6,782.9,1123.7,1881.8,3383.8,7973.6,112251.6,112238
read,471.9,566.2,63.8,144.1,164.4,246.3,298.9,381.0,581.3,1012.8,1333.9,1533.8,2672.9,4153.2,8105.8,160210.7,160265
read,253.6,252.4,59.1,100.1,112.1,207.7,263.6,294.7,318.2,344.6,380.8,476.1,1209.6,2971.3,7859.8,57013.0,57109
read,220.6,114.8,59.1,95.8,105.9,198.0,256.5,288.9,312.0,337.0,365.1,403.4,496.1,1167.5,2395.1,88498.3,88551
read,188.9,63.1,68.9,123.5,135.1,184.2,205.2,216.5,224.7,233.4,246.6,266.6,312.5,399.5,2140.4,8458.0,8385
read,222.3,149.5,63.8,103.7,116.9,220.2,257.6,275.8,289.1,304.5,323.9,352.5,407.5,540.3,9648.3,33962.0,34088
read,243.4,146.4,59.1,102.7,114.4,206.3,269.9,312.6,342.7,374.5,413.1,476.7,680.4,1378.8,2702.5,113684.9,113600
read,346.8,320.7,59.1,118.6,134.1,225.9,304.9,394.5,470.0,573.1,728.5,1038.6,1517.2,2500.8,7003.8,131933.7,131842
read,237.1,129.9,59.1,101.6,112.9,203.6,266.8,308.2,337.4,368.2,403.5,460.6,619.7,1026.4,1726.8,112062.1,112066
read,224.1,151.7,59.1,96.4,106.9,205.7,263.1,293.1,314.5,337.9,365.1,401.8,481.4,706.3,5218.8,72688.3,72585
read,395.7,410.8,63.8,126.0,142.5,232.1,304.1,414.5,542.4,719.1,972.2,1294.6,1749.2,3199.1,7766.0,133458.6,133669
read,200.9,61.6,63.8,123.0,137.4,198.0,221.4,233.2,242.4,252.9,267.3,288.9,337.4,412.8,1769.1,11836.5,11820
