Timestamp start: 1747260492671
Timestamp end: 1747261392963

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      245.9   146.9    63.8    98.9   109.7   216.8   288.3   327.6   356.0   386.4   420.1   466.2   576.4  1218.0  4158.2  80617.3    80574
read      289.6   239.5    63.8   128.0   145.5   247.9   296.6   325.3   347.1   375.7   417.4   499.3  1451.1  2855.6  6860.2 168735.7   168820
read      248.0   227.1    63.8   113.0   126.3   203.7   247.2   273.1   292.8   316.9   351.3   422.3  1418.9  2733.2  4650.4 162525.2   162621
read      251.9   222.3    59.1   100.4   112.1   209.5   270.3   306.8   333.2   364.4   401.2   465.6  1203.9  2522.1  7138.5 101537.7   101621
read      226.6   101.1    63.8    98.1   109.4   212.9   271.3   298.8   316.8   337.8   363.3   397.5   463.8   585.0  1554.1  58621.4    58592
read      497.0   579.1    63.8   146.6   169.0   259.3   313.1   395.9   639.0  1163.8  1382.9  1584.3  2755.7  4269.0  8026.1 153190.7   153042
read      471.6   573.7    63.8   139.0   158.5   246.5   303.9   394.4   589.0   944.4  1319.1  1570.7  2719.8  4433.5  8067.5 112262.9   112238
read      494.9   611.9    63.8   144.8   166.2   254.4   306.9   374.3   562.1  1029.1  1400.2  1650.9  3059.0  4529.8  8028.4 160115.9   160265
read      283.1   332.4    63.8   103.8   116.8   211.5   268.5   303.7   330.2   364.7   419.9   648.7  1606.8  3515.6  8035.2  57179.1    57109
read      224.4   109.8    59.1    96.8   107.4   202.4   263.8   296.4   318.4   343.3   373.6   414.2   496.3   635.9  2195.1  88344.8    88551
read      187.5    58.0    74.4   125.6   136.6   182.1   201.2   212.5   220.3   231.1   245.2   266.6   311.6   393.4  2057.9   8352.6     8385
read      225.7   170.1    63.8   105.2   118.5   219.9   263.1   283.0   296.0   310.9   328.7   355.6   409.3   525.4 11102.5  34107.6    34088
read      246.1   135.0    63.8   103.0   115.0   210.3   276.7   318.6   348.0   381.2   420.5   486.3   674.7  1044.6  1816.3 113466.0   113600
read      447.1   494.9    63.8   138.0   156.0   242.3   302.1   409.2   606.2   902.0  1240.1  1463.9  2263.7  3517.7  7908.9 131811.2   131842
read      245.4   133.7    63.8   103.3   115.1   210.3   276.5   317.2   346.1   378.7   417.6   480.9   677.6  1068.0  1615.0 111924.1   112066
read      225.8   139.2    59.1    96.8   107.6   207.1   267.4   297.5   317.6   340.3   368.5   405.7   481.0   628.2  2667.9  72531.7    72585
read      466.3   541.0    68.9   139.8   160.2   246.3   300.6   384.3   581.9   994.9  1321.9  1528.9  2559.3  3792.8  7963.2 133621.5   133669
read      205.2   110.5    68.9   123.7   139.2   199.0   221.5   235.2   245.7   257.0   271.4   293.3   341.1   647.5  5548.4  11836.4    11820
